Address,Company_Name,Mail,Phone_Number,Product_Name,Url
"
                           click-licht.de GmbH & Co. KG

                           ",Verkäufer: click-licht,otto@click-licht.de,+4923614067603,Kunstbaum Cover Alwaid V in Schwarz,https://www.otto.de/p/kunstbaum-cover-alwaid-v-in-schwarz-deko-light-hoehe-2-1-cm-weiteres-zubehoer-S0A5V0PV/#variationId=S0A5V0PV5UH8
"
                           [matw] menatwork GmbH & Co. KG

                           ",Verkäufer: Zubehör-Universum,support@zubehoer-universum.de,+4982224101229,Organizer Kreuzberg,https://www.otto.de/p/jt-berlin-organizer-kreuzberg-echtleder-taschenleerer-fuer-buero-und-zu-hause-18x13cm-schreibtischbox-aufbewahrungsbox-fuer-schluessel-und-kleinteile-aufklappbar-schwarz-S0F0K0G9/#variationId=S0F0K0G9NKKH
"
                           click-licht.de GmbH & Co. KG

                           ",Verkäufer: click-licht,otto@click-licht.de,+4923614067603,Kunstbaum Deckeneinbauring New Tria in Aluminium rund,https://www.otto.de/p/kunstbaum-deckeneinbauring-new-tria-in-aluminium-rund-slv-hoehe-2-6-cm-weiteres-zubehoer-S0H9V086/#variationId=S0H9V086VHIW
"
                           Demotex GmbH

                           ",Verkäufer: Casa Padrino,info@casa-padrino.de,+4920136577485,Wannenarmatur Luxus Badewannenarmatur Gold - Messing Badewannen Armatur mit Handbrause - Luxus Badezimmer Zubehör,https://www.otto.de/p/casa-padrino-wannenarmatur-luxus-badewannenarmatur-gold-messing-badewannen-armatur-mit-handbrause-luxus-badezimmer-zubehoer-S0P5G0FS/#variationId=S0P5G0FSK412
"
                           Pink Panther Handels GmbH

                           ",Verkäufer: BadaBing-deko,info@pink-panther-gmbh.de,+4925049335073,Badaccessoire-Set Bad Ausstattung Badezimmerdeko Zubehör Keramik Weiß Mit Sternen,https://www.otto.de/p/bada-bing-badaccessoire-set-bad-ausstattung-badezimmerdeko-zubehoer-keramik-weiss-mit-sternen-hochwertige-badgarnitur-komplett-set-4-tlg-4er-set-seifenspender-zahnputzbecher-seifenschale-zahnbuerstenhalter-S0A990XQ/#variationId=S0A990XQLUHX
"
                           click-licht.de GmbH & Co. KG

                           ",Verkäufer: click-licht,otto@click-licht.de,+4923614067603,Kunstbaum Abstandshalter in Anthrazit,https://www.otto.de/p/kunstbaum-abstandshalter-in-anthrazit-slv-weiteres-zubehoer-CS0PBQ00A/#variationId=S0W3K0UYHIQT
"
                           Macosa Home

                           ",Verkäufer: MACOSA HOME,info@macosa-home.de,+4974764393899,Wandhalter Wand-Haken im Vintage-Stil Retro Antik Metall Braun Garderobenhaken,https://www.otto.de/p/macosa-home-wandhalter-wand-haken-im-vintage-stil-retro-antik-metall-braun-garderobenhaken-kleiderhaken-handtuchhaken-metallhaken-flur-garderobe-S0G3B0A3/#variationId=S0G3B0A3YOG6
"
                           Blution GmbH

                           ",Verkäufer: Hausdeko,otto@leerise.com,+4915224527226,"Duschkorb Duschablage Edelstahl, Duschregal ohne bohren mit Haken",https://www.otto.de/p/elegear-duschkorb-duschablage-edelstahl-duschregal-ohne-bohren-mit-haken-set-2-tlg-duschablage-selbstklebendes-mit-3-klebeflaechen-fuer-baeder-kuechen-S041D0JN/#variationId=S041D0JNMI8G
"
                           DF-Shopping GmbH

                           ",Verkäufer: Kaminbau Mierzwa,info@df-shopping.de,+4928712422404,Echtfeuer-Dekokamin Lukas,https://www.otto.de/p/kaminbau-mierzwa-echtfeuer-dekokamin-lukas-premium-royal-inkl-komplettem-zubehoer-sicherheitsglas-gelkamin-ethanolkamin-bodenkamin-kaminofen-S0H5Q09A/#variationId=S0H5Q09AR93I
"
                           König-Shop, Stiev König

                           ",Verkäufer: König Design,otto@koenig-shopping.de,+4937521459172,Handyhülle Huawei Y635,https://www.otto.de/p/koenig-design-handyhuelle-huawei-y635-schutzhuelle-fuer-huawei-y635-motiv-handy-huelle-silikon-tasche-case-cover-dont-touch-my-phone-baer-schwarz-S0Z270HO/#variationId=S0Z270HO70YI
"
                           Demotex GmbH

                           ",Verkäufer: Casa Padrino,info@casa-padrino.de,+4920136577485,Waschtischarmatur Luxus Bad Zubehör - Jugendstil Retro Bidet Dreilochbatterie Chrom Serie Milano - Made in Italy,https://www.otto.de/p/casa-padrino-waschtischarmatur-luxus-bad-zubehoer-jugendstil-retro-bidet-dreilochbatterie-chrom-serie-milano-made-in-italy-S0P5G0FU/#variationId=S0P5G0FUIE0R
"
                           Frolada Handels UG (haftungsbeschränkt)

                           ",Verkäufer: Keln,ougongflow@outlook.com,+4915238480126,Badaccessoire-Set 7-teiliges Kunststoff Badezimmer Zubehör Set mit Seifenschale,https://www.otto.de/p/rutaqian-badaccessoire-set-7-teiliges-kunststoff-badezimmer-zubehoer-set-mit-seifenschale-seifenspender-nachfuellbar-seifenspender-nachfuellbar-zahnbuerstenhalter-set-mit-bambusdeckel-fuer-boho-theke-S0QAR08B/#variationId=S0QAR08BTVVS
"
                           click-licht.de GmbH & Co. KG

                           ",Verkäufer: click-licht,otto@click-licht.de,+4923614067603,Kunstbaum Mix&Match Lampenschirm Lalu Tetra 36 in Weiß-matt und Gold-matt,https://www.otto.de/p/kunstbaum-mix-match-lampenschirm-lalu-tetra-36-in-weiss-matt-und-gold-matt-slv-hoehe-8-9-cm-weiteres-zubehoer-CS0RBQ078/#variationId=S0Z9V0YQMK8T
"
                           SellerX Commerce GmbH

                           ",Verkäufer: SellerX Commerce,otto@kw-commerce.de,+4930233224650,"Badezimmer-Set Bambus 4-teilig - Zahnputzbecher, Seifenspender, Becher, Ablage",https://www.otto.de/p/navaris-badezimmer-set-bambus-4-teilig-zahnputzbecher-seifenspender-becher-ablage-4-st-S001J0XB/#variationId=S001J0XB1HOU
,Verkäufer: eluno24,,,"Badaccessoire-Set Badezimmer-Set, Zubehör-Set 4-tlg., Kunststoff, Savona grau",https://www.otto.de/p/bremermann-badaccessoire-set-badezimmer-set-zubehoer-set-4-tlg-kunststoff-savona-grau-S0T9Z0OC/#variationId=S0T9Z0OCVFE6
"
                           DEREND GmbH

                           ",Verkäufer: BAULANDO,info@baulando.com,+4920184326335,"Zulaufschlauch Anschlußschlauch Innengewinde 1/2"" 3/8"" 800mm",https://www.otto.de/p/trizeratop-zulaufschlauch-anschlussschlauch-innengewinde-1-2-3-8-800mm-zubehoer-fuer-bade-kueche-S0LAO09C/#variationId=S0LAO09CNLXC
"
                           SellerX Commerce GmbH

                           ",Verkäufer: SellerX Commerce,otto@kw-commerce.de,+4930233224650,Badezimmer-Set Badezimmer Set Holz 3-teilig - Badzubehör aus Holz,https://www.otto.de/p/navaris-badezimmer-set-badezimmer-set-holz-3-teilig-badzubehoer-aus-holz-1-st-S09350WW/#variationId=S09350WW0WT1
"
                           König-Shop, Stiev König

                           ",Verkäufer: König Design,otto@koenig-shopping.de,+4937521459172,Handyhülle Huawei Y6p,https://www.otto.de/p/koenig-design-handyhuelle-huawei-y6p-schutzhuelle-fuer-huawei-y6p-motiv-handy-huelle-silikon-tasche-case-cover-dont-touch-my-phone-baer-schwarz-S0Z270HP/#variationId=S0Z270HPQ0J4
"
                           Demotex GmbH

                           ",Verkäufer: Casa Padrino,info@casa-padrino.de,+4920136577485,Wannenarmatur Luxus Badewannen Armatur mit Swarovski Kristallglas Gold H. 7 cm - Einlochbatterie mit Ablaufgarnitur - Luxus Bad Zubehör - Made in Italy,https://www.otto.de/p/casa-padrino-wannenarmatur-luxus-badewannen-armatur-mit-swarovski-kristallglas-gold-h-7-cm-einlochbatterie-mit-ablaufgarnitur-luxus-bad-zubehoer-made-in-italy-S0P5G0FW/#variationId=S0P5G0FWFLAC
"
                           MSV Deutschland GmbH

                           ",Verkäufer: MSV-Spirella E-Commerce,aude.rainier@msv-spirella.com,+496373891080,Badaccessoires-Sets HANNAH,https://www.otto.de/p/msv-badaccessoires-sets-hannah-zubehoer-set-aus-hochwertigem-kunststoff-6-tlg-bestehend-aus-kosmetikeimer-wc-buerste-seifenspender-zahnputzbecher-zahnbuerstenhalter-seifenschale-elegante-matt-optik-schwarz-komplett-set-badezimmerzubehoer-6-tlg-in-edler-matt-optik-schwarz-S0K0I01B/#variationId=S0K0I01B1H5P
